AVG Current,STD Current,MAX Current,MIN Current,Range Current,Kurtosis Current,RMS Current,Skewness Current,Entropy Current,AVG Torque,STD Torque,MAX Torque,MIN Torque,Range Torque,Kurtosis Torque,RMS Torque,Skewness Torque,Entropy Torque,AVG Active Power,STD Active Power,MAX Active Power,MIN Active Power,Range Active Power,Kurtosis Active Power,RMS Active Power,Skewness Active Power,Entropy Active Power,Class
0.562391,0.010789,0.586365,0.543701,0.042664,0.991486,0.562494,0.227197,6.907572,0.059854,0.012007,0.079224,0.037048,0.042176,1.111205,0.061045,0.428767,6.886783,0.376826,0.021428,0.410889,0.335144,0.075745,1.146196,0.377434,0.439422,6.906125,0
0.562512,0.011002,0.586182,0.543152,0.043030,0.884095,0.562620,0.224010,6.907564,0.060338,0.012010,0.078064,0.035950,0.042114,1.152961,0.061521,0.433349,6.887117,0.377726,0.021558,0.408569,0.334167,0.074402,1.142395,0.378341,0.462469,6.906112,0
0.564650,0.011292,0.587769,0.544617,0.043152,0.883295,0.564763,0.213178,6.907556,0.061290,0.011855,0.077942,0.036987,0.040955,1.140265,0.062425,0.436291,6.888291,0.380052,0.021348,0.410339,0.335999,0.074340,1.170148,0.380651,0.442462,6.906165,0
0.565906,0.011307,0.589172,0.547668,0.041504,0.906290,0.566019,0.231577,6.907556,0.060629,0.012136,0.079163,0.037170,0.041993,1.183625,0.061830,0.382475,6.886954,0.379499,0.021736,0.410950,0.337769,0.073181,1.181725,0.380120,0.420837,6.906102,0
0.565702,0.010991,0.589172,0.548218,0.040954,0.945499,0.565809,0.237511,6.907567,0.060038,0.012241,0.077087,0.036865,0.040222,1.208075,0.061272,0.405892,6.886122,0.378464,0.021778,0.411011,0.336914,0.074097,1.209214,0.379090,0.412713,6.906087,0
0.562781,0.010583,0.585022,0.544800,0.040222,0.982190,0.562880,0.213086,6.907579,0.059791,0.011951,0.076965,0.036011,0.040954,1.125088,0.060973,0.450761,6.886912,0.377169,0.021384,0.406677,0.334595,0.072082,1.159267,0.377774,0.470216,6.906134,0
0.562332,0.010814,0.585876,0.543762,0.042114,0.868869,0.562436,0.249227,6.907571,0.060210,0.011826,0.076965,0.034973,0.041992,1.111073,0.061359,0.469462,6.887621,0.377559,0.021269,0.408569,0.334717,0.073852,1.146074,0.378157,0.455674,6.906155,0
0.564685,0.011338,0.588623,0.544983,0.043640,0.909420,0.564799,0.217731,6.907554,0.060544,0.011771,0.077820,0.037415,0.040405,1.134187,0.061676,0.414259,6.888112,0.378867,0.021063,0.410522,0.337341,0.073181,1.181569,0.379452,0.442438,6.906197,0
0.565718,0.011409,0.590393,0.546570,0.043823,0.890016,0.565833,0.233399,6.907552,0.060366,0.012176,0.078979,0.035461,0.043518,1.184094,0.061581,0.393257,6.886609,0.379085,0.021690,0.409058,0.336304,0.072754,1.178899,0.379704,0.430939,6.906105,0
0.565988,0.011008,0.591492,0.547485,0.044007,0.914336,0.566095,0.219194,6.907567,0.060536,0.012274,0.081116,0.035583,0.045533,1.148640,0.061766,0.401093,6.886363,0.379317,0.021752,0.413574,0.335449,0.078125,1.164845,0.379939,0.417260,6.906098,0
0.562972,0.010615,0.587402,0.542175,0.045227,0.926226,0.563072,0.228902,6.907578,0.060317,0.012077,0.078491,0.036377,0.042114,1.141612,0.061513,0.452600,6.886838,0.378082,0.021511,0.408936,0.336731,0.072205,1.154777,0.378693,0.465975,6.906122,0
0.562106,0.010932,0.585938,0.543640,0.042298,0.918002,0.562212,0.227430,6.907567,0.060328,0.012020,0.077576,0.035095,0.042481,1.113734,0.061512,0.435333,6.887065,0.377786,0.021525,0.408264,0.334229,0.074035,1.124856,0.378398,0.451296,6.906118,0
0.564689,0.011261,0.588257,0.545654,0.042603,0.862635,0.564801,0.237220,6.907557,0.060458,0.011821,0.078003,0.038574,0.039429,1.218262,0.061602,0.390736,6.887925,0.378807,0.021157,0.407959,0.336365,0.071594,1.216671,0.379397,0.412390,6.906184,0
0.565843,0.011238,0.588501,0.547852,0.040649,0.926109,0.565954,0.197254,6.907558,0.060821,0.012238,0.079895,0.037415,0.042480,1.150234,0.062038,0.414635,6.886680,0.379828,0.021646,0.412537,0.337280,0.075257,1.146078,0.380443,0.440699,6.906118,0
0.566085,0.011050,0.590759,0.548279,0.042480,0.897391,0.566192,0.222837,6.907565,0.060471,0.012326,0.078125,0.037048,0.041077,1.216517,0.061713,0.399702,6.886145,0.379321,0.021975,0.410767,0.336182,0.074585,1.205717,0.379956,0.420947,6.906063,0
0.563243,0.010581,0.586060,0.545227,0.040833,0.995790,0.563343,0.240871,6.907579,0.059940,0.012003,0.078735,0.036438,0.042297,1.123163,0.061129,0.435458,6.886851,0.377508,0.021444,0.408081,0.335754,0.072327,1.153931,0.378116,0.467648,6.906128,0
0.562127,0.010907,0.584961,0.543640,0.041321,0.904642,0.562232,0.243091,6.907568,0.060142,0.011885,0.076904,0.035950,0.040954,1.154405,0.061304,0.423436,6.887434,0.377456,0.021444,0.409241,0.332886,0.076355,1.167799,0.378064,0.441374,6.906128,0
0.564528,0.011177,0.588013,0.546021,0.041992,0.928262,0.564638,0.216563,6.907560,0.060742,0.011716,0.079468,0.037720,0.041748,1.156950,0.061861,0.412484,6.888436,0.379174,0.021124,0.410400,0.336121,0.074279,1.157313,0.379761,0.433056,6.906191,0
0.565558,0.011325,0.589111,0.547485,0.041626,0.879228,0.565671,0.216158,6.907555,0.062133,0.012323,0.081482,0.037231,0.044251,1.119086,0.063342,0.397414,6.887314,0.381766,0.021827,0.415283,0.338257,0.077026,1.137772,0.382389,0.428666,6.906107,0
0.566088,0.011929,0.590393,0.549011,0.041382,0.898633,0.566213,0.362718,4.996992,0.060426,0.012333,0.080017,0.036682,0.043335,1.180132,0.061664,0.277873,4.975845,0.379015,0.022291,0.412781,0.339478,0.073303,1.262676,0.379666,0.312738,4.995482,0
0.470757,0.012376,0.496704,0.446411,0.050293,0.999786,0.470920,0.024740,6.907410,0.065498,0.015384,0.094116,0.040100,0.054016,1.402414,0.067279,0.013219,6.879748,0.284505,0.036467,0.345947,0.222778,0.123169,1.405154,0.286830,0.024662,6.899504,0
0.473564,0.012455,0.499268,0.448364,0.050904,1.033114,0.473727,0.030281,6.907410,0.065353,0.015725,0.092468,0.039490,0.052978,1.388871,0.067216,0.005165,6.878354,0.284088,0.036734,0.344055,0.224182,0.119873,1.421635,0.286451,0.013440,6.899361,0
